version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
omp,weak,0.25,359,90,3,1,1,1,0.9333333333333333,0.03911233297549188,0.03911233297549188,0.0,6235830.0
omp,weak,0.5,718,180,3,1,2,2,0.9666666666666667,0.4116035409970209,0.4116035409970209,0.0,24943320.0
omp,weak,1.0,1437,360,3,1,4,4,0.9861111111111112,2.118830540974159,2.118830540974159,0.0,99842760.0
omp,weak,1.0,1437,360,3,1,8,8,0.9861111111111112,2.1876544999540783,2.1876544999540783,0.0,99842760.0
omp,weak,1.0,1437,360,3,1,16,16,0.9861111111111112,2.146528582961764,2.146528582961764,0.0,99842760.0
