version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
mpi,weak,0.25,359,90,3,1,1,1,0.9333333333333333,0.08946370000194293,0.08805619999475311,0.0008166000043274835,6235830.0
mpi,weak,0.5,718,180,3,2,1,2,0.9666666666666667,0.21893339999951422,0.21414429998549167,0.003674199993838556,24943320.0
mpi,weak,1.0,1437,360,3,4,1,4,0.9861111111111112,0.5725089000043226,0.5662999000051059,0.13929159997496754,99842760.0
mpi,weak,1.0,1437,360,3,8,1,8,0.9861111111111112,0.3582287000026554,0.35296600016590673,0.09066369995707646,99842760.0
mpi,weak,1.0,1437,360,3,16,1,16,0.9861111111111112,0.3151460999943083,0.20075320002797525,0.1969502998254029,99842760.0
