version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
sequential,strong,0.25,359,90,3,1,1,1,0.9333333333333333,0.03937270800815895,0.03937270800815895,0.0,6235830.0
sequential,strong,0.5,718,180,3,1,1,1,0.9666666666666667,0.15640866698231548,0.15640866698231548,0.0,24943320.0
sequential,strong,0.75,1077,270,3,1,1,1,0.9740740740740741,0.3509380000177771,0.3509380000177771,0.0,56122470.0
sequential,strong,1.0,1437,360,3,1,1,1,0.9861111111111112,0.6242166250012815,0.6242166250012815,0.0,99842760.0
sequential,strong,0.25,359,90,3,1,1,1,0.9222222222222223,0.08315363100018658,0.08315363100018658,0.0,6235830.0
sequential,strong,0.5,718,180,3,1,1,1,0.9666666666666667,0.3374395240002741,0.3374395240002741,0.0,24943320.0
sequential,strong,0.75,1077,270,3,1,1,1,0.9740740740740741,0.7700696629999584,0.7700696629999584,0.0,56122470.0
sequential,strong,1.0,1437,360,3,1,1,1,0.9861111111111112,1.2922960089999833,1.2922960089999833,0.0,99842760.0
