Resultados Hybrid (p = 1, threads = 2)
frac,n_train,n_test,k,acc,T_total,T_comp,T_comm,p,threads
0.25,359,90,3,0.9333,0.115081,0.114211,0.000789,1,2
0.50,718,180,3,0.9667,0.389598,0.388216,0.001282,1,2
0.75,1077,270,3,0.9741,0.915406,0.913239,0.001977,1,2
1.00,1437,360,3,0.9861,1.565625,1.562838,0.002508,1,2
