Resultados Hybrid (p = 2, threads = 2)
frac,n_train,n_test,k,acc,T_total,T_comp,T_comm,p,threads
0.25,359,90,3,0.9222,0.056581,0.055519,0.009847,2,2
0.50,718,180,3,0.9667,0.187229,0.184867,0.008399,2,2
0.75,1077,270,3,0.9741,0.391572,0.388993,0.002613,2,2
1.00,1437,360,3,0.9861,0.682854,0.678856,0.003760,2,2
