version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
sequential,strong,0.25,359,90,3,1,1,1,0.9333333333333333,0.08658200000354555,0.08658200000354555,0.0,6235830.0
sequential,strong,0.5,718,180,3,1,1,1,0.9666666666666667,0.3387776000017766,0.3387776000017766,0.0,24943320.0
sequential,strong,0.75,1077,270,3,1,1,1,0.9740740740740741,0.798568800004432,0.798568800004432,0.0,56122470.0
sequential,strong,1.0,1437,360,3,1,1,1,0.9861111111111112,1.3492798000079347,1.3492798000079347,0.0,99842760.0
