version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
mpi,weak,0.25,359,90,3,1,1,1,0.9333333333333333,0.03960100000000011,0.0391669999999994,0.00029500000000026727,6235830.0
mpi,weak,0.5,718,180,3,2,1,2,0.9666666666666667,0.08221800000000001,0.08156699999999995,0.004961000000000437,24943320.0
mpi,weak,1.0,1437,360,3,4,1,4,0.9861111111111112,0.17459400000000003,0.1711230000000009,0.008637999999998924,99842760.0
mpi,weak,1.0,1437,360,3,8,1,8,0.9861111111111112,0.17628300000000008,0.1474749999999989,0.09065899999999993,99842760.0
