version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
hybrid,weak,0.25,359,90,3,1,1,1,0.9333333333333333,0.08869449999474455,0.0882623999932548,0.000265499998931773,6235830.0
hybrid,weak,0.5,718,180,3,1,2,2,0.9666666666666667,0.6162979000073392,0.6144944999978179,0.0014894000050844625,24943320.0
hybrid,weak,1.0,1437,360,3,2,2,4,0.9861111111111112,1.9866881000052672,1.9847379999991972,0.019574799996917136,99842760.0
hybrid,weak,1.0,1437,360,3,2,4,8,0.9861111111111112,2.855803999991622,2.8538107000058517,0.012436299992259592,99842760.0
hybrid,weak,1.0,1437,360,3,4,4,16,0.9861111111111112,1.7510691000061342,1.748392800000147,0.01803210000798572,99842760.0
