Resultados MPI (p = 2)
frac,n_train,n_test,k,acc,T_total,T_comp,T_comm
0.25,359,90,3,0.9222,0.022790,0.020770,0.003386
0.50,718,180,3,0.9667,0.084606,0.081188,0.003160
0.75,1077,270,3,0.9741,0.187335,0.182205,0.004589
1.00,1437,360,3,0.9861,0.331994,0.324958,0.006246
