Resultados MPI (p = 1)
frac,n_train,n_test,k,acc,T_total,T_comp,T_comm
0.25,359,90,3,0.9333,0.040104,0.038532,0.001399
0.50,718,180,3,0.9667,0.158063,0.155314,0.002497
0.75,1077,270,3,0.9741,0.376048,0.371210,0.004221
1.00,1437,360,3,0.9861,0.632745,0.626873,0.005188
