Resultados MPI (p = 8)
frac,n_train,n_test,k,acc,T_total,T_comp,T_comm
0.25,359,90,3,0.9222,0.034038,0.016481,0.067509
0.50,718,180,3,0.9667,0.073804,0.046258,0.046511
0.75,1077,270,3,0.9741,0.129782,0.085449,0.060727
1.00,1437,360,3,0.9861,0.254223,0.169777,0.119411
