Resultados OMP (threads = 8)
frac,n_train,n_test,k,acc,T_total
0.25,359,90,3,0.9333,1.205025
0.50,718,180,3,0.9667,0.061276
0.75,1077,270,3,0.9741,0.106006
1.00,1437,360,3,0.9861,0.201735
